tumor	normal
GC012tumor	GC012nearbytissue
GC028tumor	GC028nearbytissue
GC029tumor	GC029nearbytissue
GC030tumor	GC030nearbytissue
GC036tumor	GC036nearbytissue
GC037tumor	GC037nearbytissue
GC038tumor	GC038nearbytissue
GC040tumor	GC040nearbytissue
GC042tumor	GC042nearbytissue
GC043tumor	GC043nearbytissue
GC047tumor	GC047nearbytissue
GC048tumor	GC048nearbytissue
GC054tumor	GC054nearbytissue
GC057tumor	GC057nearbytissue
GC059tumor	GC059nearbytissue
GC062tumor	GC062nearbytissue
GC065tumor	GC065nearbytissue
GC067tumor	GC067nearbytissue
GC068tumor	GC068nearbytissue
GC069tumor	GC069nearbytissue
GC070tumor	GC070nearbytissue
GC071tumor	GC071nearbytissue
GC076tumor	GC076nearbytissue
GC078tumor	GC078nearbytissue
GC079tumor	GC079nearbytissue
GC080tumor	GC080nearbytissue
GC091tumor	GC091nearbytissue
GC094tumor	GC094nearbytissue
GC096tumor	GC096nearbytissue
GC097tumor	GC097nearbytissue
GC098tumor	GC098nearbytissue
GC100tumor	GC100nearbytissue
GC101tumor	GC101nearbytissue
GC103tumor	GC103nearbytissue
GC105tumor	GC105nearbytissue
GC106tumor	GC106nearbytissue
GC107tumor	GC107nearbytissue
GC108tumor	GC108nearbytissue
GC110tumor	GC110nearbytissue
GC115tumor	GC115nearbytissue
GC116tumor	GC116nearbytissue
GC119tumor	GC119nearbytissue
