tumor	normal
GC012tumor	GC012nearbytissue
GC022tumor	GC022nearbytissue
GC023tumor	GC023nearbytissue
GC026tumor	GC026nearbytissue
GC028tumor	GC028nearbytissue
GC029tumor	GC029nearbytissue
GC030tumor	GC030nearbytissue
GC031tumor	GC031nearbytissue
GC034tumor	GC034nearbytissue
GC035tumor	GC035nearbytissue
GC036tumor	GC036nearbytissue
GC037tumor	GC037nearbytissue
GC038tumor	GC038nearbytissue
GC039tumor	GC039nearbytissue
GC040tumor	GC040nearbytissue
GC041tumor	GC041nearbytissue
GC042tumor	GC042nearbytissue
GC043tumor	GC043nearbytissue
GC044tumor	GC044nearbytissue
GC045tumor	GC045nearbytissue
GC046tumor	GC046nearbytissue
GC047tumor	GC047nearbytissue
GC048tumor	GC048nearbytissue
GC050tumor	GC050nearbytissue
GC051tumor	GC051nearbytissue
GC052tumor	GC052nearbytissue
GC053tumor	GC053nearbytissue
GC054tumor	GC054nearbytissue
GC055tumor	GC055nearbytissue
GC056tumor	GC056nearbytissue
GC057tumor	GC057nearbytissue
GC058tumor	GC058nearbytissue
GC059tumor	GC059nearbytissue
GC060tumor	GC060nearbytissue
GC061tumor	GC061nearbytissue
GC062tumor	GC062nearbytissue
GC063tumor	GC063nearbytissue
GC064tumor	GC064nearbytissue
GC065tumor	GC065nearbytissue
GC066tumor	GC066nearbytissue
GC067tumor	GC067nearbytissue
GC068tumor	GC068nearbytissue
GC069tumor	GC069nearbytissue
GC070tumor	GC070nearbytissue
GC071tumor	GC071nearbytissue
GC072tumor	GC072nearbytissue
GC073tumor	GC073nearbytissue
GC074tumor	GC074nearbytissue
GC075tumor	GC075nearbytissue
GC076tumor	GC076nearbytissue
GC077tumor	GC077nearbytissue
GC078tumor	GC078nearbytissue
GC079tumor	GC079nearbytissue
GC080tumor	GC080nearbytissue
GC081tumor	GC081nearbytissue
GC082tumor	GC082nearbytissue
GC090tumor	GC090nearbytissue
GC091tumor	GC091nearbytissue
GC092tumor	GC092nearbytissue
GC093tumor	GC093nearbytissue
GC094tumor	GC094nearbytissue
GC096tumor	GC096nearbytissue
GC097tumor	GC097nearbytissue
GC098tumor	GC098nearbytissue
GC099tumor	GC099nearbytissue
GC100tumor	GC100nearbytissue
GC101tumor	GC101nearbytissue
GC102tumor	GC102nearbytissue
GC103tumor	GC103nearbytissue
GC104tumor	GC104nearbytissue
GC105tumor	GC105nearbytissue
GC106tumor	GC106nearbytissue
GC107tumor	GC107nearbytissue
GC108tumor	GC108nearbytissue
GC109tumor	GC109nearbytissue
GC110tumor	GC110nearbytissue
GC111tumor	GC111nearbytissue
GC112tumor	GC112nearbytissue
GC114tumor	GC114nearbytissue
GC115tumor	GC115nearbytissue
GC116tumor	GC116nearbytissue
GC117tumor	GC117nearbytissue
GC118tumor	GC118nearbytissue
GC119tumor	GC119nearbytissue
