GeneSymbol,Exp017005_P_An,Exp025214_P_An,Exp025218_P_An,Exp025230_P_An,Exp025252_P_An,Exp017011_P_AI,Exp017021_P_AI,Exp008539_P_AI,Exp016991_P_GC,Exp017025_P_GC,Exp017031_P_GC,Exp025204_P_GC,Exp025248_P_GC,Exp016985_P_LC,Exp017015_P_LC,Exp017017_P_LC,Exp017027_P_LC,Exp017035_P_LC,Exp025224_P_LC,Exp025232_P_LC,Exp008543_P_LC,Exp008570_P_LC,Exp016995_P_Fu,Exp017003_P_Fu,Exp017009_P_Fu,Exp017019_P_Fu,Exp025220_P_Fu,Exp025226_P_Ca,Exp008541_P_Ca,Exp017028_T_Py,Exp017022_T_An,Exp025215_T_An,Exp025241_T_An,Exp025255_T_An,Exp008534_T_An,Exp016992_T_AI,Exp017032_T_AI,Exp017036_T_AI,Exp016986_T_GC,Exp017006_T_GC,Exp025221_T_GC,Exp025227_T_GC,Exp025253_T_GC,Exp025447_T_GC,Exp008579_T_GC,Exp016996_T_LC,Exp017038_T_LC,Exp025243_T_Fu,Exp008546_T_Fu,Exp008577_T_Fu,Exp016998_T_Ca,Exp017000_T_Ca,Exp025211_T_Ca,Exp025245_T_Ca,Exp025249_T_Ca,Exp025449_T_Ca,Exp025451_T_Ca,Exp008536_T_Ca
A1BG,5.483,4.398,8.15,2.211,1.9709999999999999,2.0669999999999997,1.693,2.2769999999999997,5.131,3.036,3.5460000000000003,6.779,29.291,3.4760000000000004,1.6119999999999999,2.385,2.505,2.483,2.65,3.7460000000000004,3.8089999999999997,2.489,2.702,4.274,0.642,1.639,16.979,7.404,3.083,2.436,2.551,3.6,5.805,6.678999999999999,3.199,3.844,5.879,3.141,2.131,1.196,7.52,6.388999999999999,3.932,2.237,3.563,2.312,2.5639999999999996,2.513,2.4130000000000003,5.7860000000000005,4.25,4.367,2.9739999999999998,2.8710000000000004,4.823,4.446000000000001,4.487,8.482999999999999
A2M,10.447000000000001,11.689,16.91,28.087,3.8080000000000003,8.381,6.312,16.503,17.844,9.185,12.264000000000001,14.255999999999998,8.617,12.151,7.401,6.559,4.331,5.1160000000000005,10.091000000000001,11.48,12.145999999999999,6.825,13.199000000000002,14.008,7.4,5.66,3.114,3.904,7.604,10.350999999999999,5.933,11.977,36.07,18.047,7.49,13.837,13.967,11.964,16.183,6.568,17.624000000000002,5.61,31.855999999999998,5.461,13.21,20.159000000000002,7.733,23.354,9.657,27.033,29.101,10.366,8.192,11.126,20.615,6.542000000000001,22.416,22.654
NAT1,0.435,0.20600000000000002,1.662,0.085,0.031,0.405,0.0,0.7709999999999999,0.375,0.0,0.39799999999999996,0.19,0.267,0.7859999999999999,0.405,0.105,0.313,0.20800000000000002,0.073,0.128,1.3159999999999998,0.139,0.6409999999999999,0.057999999999999996,0.142,0.146,0.136,0.057999999999999996,0.34299999999999997,0.539,0.0,0.419,0.24100000000000002,0.0,0.39899999999999997,0.036000000000000004,0.907,0.114,0.078,0.049,0.266,0.218,0.0,0.0,0.027999999999999997,0.195,0.04,0.0,0.17600000000000002,0.396,0.0,0.0,0.0,0.384,0.228,0.0,0.0,0.0
NAT2,0.042,0.0,0.139,0.0,0.0,0.0,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028999999999999998,0.0,0.0,0.0,0.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERPINA3,24.823,9.377,9.943,3.911,7.075,1.945,1.055,9.542,15.742,19.35,7.382999999999999,12.007,16.607,18.090999999999998,7.016,12.847999999999999,17.233,0.38799999999999996,8.401,4.111000000000001,41.695,7.056,3.385,8.476,4.809,8.798,3.237,18.839000000000002,7.303999999999999,4.5569999999999995,5.1739999999999995,6.528,3.659,11.261,40.439,7.154,31.206999999999997,4.957,4.216,4.947,3.0839999999999996,9.9,9.177999999999999,0.19399999999999998,4.8,9.895,10.707,5.566,15.308,1.631,11.696,2.7689999999999997,1.781,9.168,18.151,0.4,2.614,3.3569999999999998
AADAC,6.539,0.233,10.597999999999999,0.235,0.0,0.153,0.0,0.8420000000000001,0.078,0.14,0.24,0.12300000000000001,0.0,0.499,0.027999999999999997,0.0,0.0,0.16899999999999998,0.045,0.496,0.345,0.0,0.039,0.08900000000000001,0.0,0.46799999999999997,0.0,0.547,0.649,0.08900000000000001,0.0,0.0,0.0,0.0,0.193,0.125,0.392,0.0,0.281,0.012,0.11900000000000001,0.29600000000000004,0.0,0.0,1.8359999999999999,0.0,1.041,0.0,0.61,1.381,0.0,1.2590000000000001,0.0,1.088,0.0,0.047,0.0,0.0
AAMP,0.301,0.581,0.0,0.653,0.0,0.0,0.281,0.207,0.0,0.0,0.16399999999999998,0.377,0.0,0.36,0.16899999999999998,0.0,0.19899999999999998,0.039,0.498,0.45,0.6970000000000001,0.29600000000000004,0.19,0.948,0.9570000000000001,0.349,0.698,0.325,0.244,0.138,0.0,1.155,0.305,10.273,0.303,0.0,0.282,0.363,0.171,0.0,2.8160000000000003,0.7979999999999999,0.0,0.0,0.0,0.146,0.34600000000000003,0.0,0.8859999999999999,0.306,0.6920000000000001,0.272,2.249,0.0,0.0,0.0,0.0,0.6559999999999999
AARS,3.3789999999999996,3.815,2.988,3.6489999999999996,1.031,4.2989999999999995,1.36,2.7110000000000003,4.78,2.0580000000000003,4.3180000000000005,3.2710000000000004,2.907,3.2260000000000004,2.847,2.415,2.052,1.797,2.923,3.3710000000000004,3.912,4.952,4.434,7.181,5.37,7.9479999999999995,4.524,2.6460000000000004,3.1639999999999997,3.937,0.387,6.93,2.065,5.045,4.3580000000000005,4.295,3.634,3.1439999999999997,3.533,0.636,4.913,2.81,4.813,0.084,0.568,4.303,2.1519999999999997,1.6780000000000002,2.329,2.012,2.011,3.5789999999999997,3.263,3.681,2.423,1.156,0.544,0.847
ABAT,1.347,0.632,1.003,0.293,0.379,1.137,0.0,0.506,0.095,0.44299999999999995,0.466,0.263,0.465,0.486,0.7090000000000001,0.102,0.768,0.10800000000000001,0.156,0.769,0.934,0.426,1.58,0.649,0.282,0.605,0.41200000000000003,0.159,0.205,1.1740000000000002,0.059000000000000004,0.297,0.818,0.033,0.768,0.075,1.385,0.084,0.034,0.047,0.375,0.249,0.0,0.0,0.079,0.469,0.0,0.9890000000000001,0.66,0.102,0.0,0.509,0.233,2.0909999999999997,0.073,0.038,0.025,0.0
ABCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
