GeneSymbol,Exp017028_T_Py,Exp017022_T_An,Exp025215_T_An,Exp025241_T_An,Exp025255_T_An,Exp008534_T_An,Exp016992_T_AI,Exp017032_T_AI,Exp017036_T_AI,Exp016986_T_GC,Exp017006_T_GC,Exp025221_T_GC,Exp025227_T_GC,Exp025253_T_GC,Exp025447_T_GC,Exp008579_T_GC,Exp016996_T_LC,Exp017038_T_LC,Exp025243_T_Fu,Exp008546_T_Fu,Exp008577_T_Fu,Exp016998_T_Ca,Exp017000_T_Ca,Exp025211_T_Ca,Exp025245_T_Ca,Exp025249_T_Ca,Exp025449_T_Ca,Exp025451_T_Ca,Exp008536_T_Ca,Exp017029_P_Py,Exp017023_P_An,Exp025216_P_An,Exp025242_P_An,Exp025256_P_An,Exp008535_P_An,Exp016993_P_AI,Exp017033_P_AI,Exp017037_P_AI,Exp016987_P_GC,Exp017007_P_GC,Exp025222_P_GC,Exp025228_P_GC,Exp025254_P_GC,Exp025448_P_GC,Exp008580_P_GC,Exp016997_P_LC,Exp017039_P_LC,Exp025244_P_Fu,Exp008547_P_Fu,Exp008578_P_Fu,Exp016999_P_Ca,Exp017001_P_Ca,Exp025212_P_Ca,Exp025246_P_Ca,Exp025250_P_Ca,Exp025450_P_Ca,Exp025452_P_Ca,Exp008537_P_Ca
A1BG,2.436,2.551,3.6,5.805,6.678999999999999,3.199,3.844,5.879,3.141,2.131,1.196,7.52,6.388999999999999,3.932,2.237,3.563,2.312,2.5639999999999996,2.513,2.4130000000000003,5.7860000000000005,4.25,4.367,2.9739999999999998,2.8710000000000004,4.823,4.446000000000001,4.487,8.482999999999999,3.92,16.408,3.028,4.546,7.218999999999999,4.01,2.258,5.553999999999999,5.6339999999999995,2.286,1.969,5.1610000000000005,3.0610000000000004,11.357000000000001,2.373,3.187,2.1790000000000003,5.975,1.3,2.302,1.6580000000000001,2.376,2.072,8.058,4.369,12.112,5.445,3.57,5.433
A2M,10.350999999999999,5.933,11.977,36.07,18.047,7.49,13.837,13.967,11.964,16.183,6.568,17.624000000000002,5.61,31.855999999999998,5.461,13.21,20.159000000000002,7.733,23.354,9.657,27.033,29.101,10.366,8.192,11.126,20.615,6.542000000000001,22.416,22.654,6.667999999999999,28.241,6.789,32.448,18.667,6.109,9.577,6.981,19.346,8.382,5.6160000000000005,16.274,4.677,30.868000000000002,6.84,9.117,9.019,16.292,12.195,9.89,10.472999999999999,18.236,7.176,8.29,14.355,30.070999999999998,4.059,17.464000000000002,19.511
NAT1,0.539,0.0,0.419,0.24100000000000002,0.0,0.39899999999999997,0.036000000000000004,0.907,0.114,0.078,0.049,0.266,0.218,0.0,0.0,0.027999999999999997,0.195,0.04,0.0,0.17600000000000002,0.396,0.0,0.0,0.0,0.384,0.228,0.0,0.0,0.0,0.508,0.342,0.452,0.153,0.0,0.12,0.0,0.57,0.21600000000000003,0.07,0.228,0.171,0.065,0.02,0.36200000000000004,0.245,0.552,0.308,0.396,0.135,0.254,0.5579999999999999,0.0,0.226,0.648,0.728,0.0,0.0,0.06
NAT2,0.0,0.0,0.0,0.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERPINA3,4.5569999999999995,5.1739999999999995,6.528,3.659,11.261,40.439,7.154,31.206999999999997,4.957,4.216,4.947,3.0839999999999996,9.9,9.177999999999999,0.19399999999999998,4.8,9.895,10.707,5.566,15.308,1.631,11.696,2.7689999999999997,1.781,9.168,18.151,0.4,2.614,3.3569999999999998,4.251,56.813,6.564,13.102,31.1,8.224,7.4479999999999995,21.504,8.113,1.929,10.517000000000001,32.903,11.126,14.712,0.0,7.749,4.127,24.845,6.769,11.925,3.615,3.636,2.806,2.204,7.59,14.37,0.5820000000000001,6.462000000000001,4.111000000000001
AADAC,0.08900000000000001,0.0,0.0,0.0,0.0,0.193,0.125,0.392,0.0,0.281,0.012,0.11900000000000001,0.29600000000000004,0.0,0.0,1.8359999999999999,0.0,1.041,0.0,0.61,1.381,0.0,1.2590000000000001,0.0,1.088,0.0,0.047,0.0,0.0,0.405,1.643,0.469,0.6829999999999999,0.555,0.035,0.0,0.095,0.011000000000000001,0.0,0.214,0.09300000000000001,0.248,0.0,0.0,0.312,0.93,0.638,0.155,0.36,2.279,0.149,0.092,0.21100000000000002,0.0,4.954,0.0,0.0,0.21
AAMP,0.138,0.0,1.155,0.305,10.273,0.303,0.0,0.282,0.363,0.171,0.0,2.8160000000000003,0.7979999999999999,0.0,0.0,0.0,0.146,0.34600000000000003,0.0,0.8859999999999999,0.306,0.6920000000000001,0.272,2.249,0.0,0.0,0.0,0.0,0.6559999999999999,0.13,0.0,0.83,0.13699999999999998,0.0,0.402,0.249,0.071,0.41600000000000004,0.0,0.19399999999999998,0.99,0.615,6.426,0.894,0.573,0.26,0.39299999999999996,0.127,0.41200000000000003,1.078,0.355,0.479,0.33799999999999997,0.0,1.047,0.0,0.048,0.287
AARS,3.937,0.387,6.93,2.065,5.045,4.3580000000000005,4.295,3.634,3.1439999999999997,3.533,0.636,4.913,2.81,4.813,0.084,0.568,4.303,2.1519999999999997,1.6780000000000002,2.329,2.012,2.011,3.5789999999999997,3.263,3.681,2.423,1.156,0.544,0.847,3.915,2.298,3.3360000000000003,1.95,5.252999999999999,3.363,4.794,3.4589999999999996,4.365,3.437,2.735,4.486000000000001,4.044,5.206,8.202,1.9780000000000002,6.244,2.517,2.546,2.497,3.822,4.922,3.255,5.216,1.778,6.184,0.011000000000000001,0.833,3.2710000000000004
ABAT,1.1740000000000002,0.059000000000000004,0.297,0.818,0.033,0.768,0.075,1.385,0.084,0.034,0.047,0.375,0.249,0.0,0.0,0.079,0.469,0.0,0.9890000000000001,0.66,0.102,0.0,0.509,0.233,2.0909999999999997,0.073,0.038,0.025,0.0,0.391,2.36,1.0590000000000002,0.311,0.43700000000000006,0.195,0.735,2.09,0.10300000000000001,0.053,0.249,0.32799999999999996,0.27,0.218,0.467,0.56,0.517,0.23399999999999999,0.467,0.263,0.6579999999999999,0.0,0.124,0.157,2.532,0.177,0.0,0.183,0.0
ABCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
