tumor	normal
T127	N127
T135	N135
T145	N145
T147	N147
T171	N171
T221	N221
T231	N231
T257	N257
T271	N271
T277	N277
T311	N311
T341	N341
T361	N361
T365	N365
T367	N367
T375	N375
T391	N391
T393	N393
T395	N395
T421	N421
T425	N425
T435	N435
T451	N451
T227	N227
T355	N355
T415	N415
T461	N461
T471	N471
T473	N473
T477	N477
T481	N481
T487	N487
T493	N493
T517	N517
T523	N523
T533	N533
T537	N537
T545	N545
T557	N557
T563	N563
T571	N571
T573	N573
T615	N615
T627	N627
T635	N635
T641	N641
T647	N647
T661	N661
T665	N665
T685	N685
T713	N713
T715	N715
T724	N724
T737	N737
T741	N741
T745	N745
T755	N755
T777	N777
T857	N857
T863	N863
T865	N865
T873	N873
T913	N913
T915	N915
T917	N917
T937	N937
T953	N953
T957	N957
T965	N965
T967	N967
T975	N975
T977	N977
T983	N983
T1013	N1013
T1021	N1021
T1025	N1025
T1027	N1027
T1043	N1043
T1045	N1045
