tumor	normal
T112	N112
T113	N113
T123	N123
T125	N125
T127	N127
T131	N131
T135	N135
T137	N137
T141	N141
T145	N145
T147	N147
T161	N161
T171	N171
T187	N187
T191	N191
T195	N195
T217	N217
T221	N221
T231	N231
T257	N257
T261	N261
T267	N267
T271	N271
T277	N277
T311	N311
T313	N313
T331	N331
T341	N341
T343	N343
T351	N351
T353	N353
T357	N357
T361	N361
T365	N365
T367	N367
T375	N375
T383	N383
T385	N385
T387	N387
T391	N391
T393	N393
T395	N395
T413	N413
T421	N421
T423	N423
T425	N425
T427	N427
T431	N431
T433	N433
T435	N435
T443	N443
T445	N445
T451	N451
T455	N455
T463	N463
T465	N465
T467	N467
T211	N211
T223	N223
T227	N227
T283	N283
T285	N285
T327	N327
T355	N355
T363	N363
T411	N411
T415	N415
T461	N461
T471	N471
T473	N473
T477	N477
T481	N481
T483	N483
T487	N487
T491	N491
T493	N493
T497	N497
T513	N513
T515	N515
T517	N517
T523	N523
T525	N525
T527	N527
T533	N533
T537	N537
T545	N545
T553	N553
T557	N557
T563	N563
T567	N567
T571	N571
T573	N573
T615	N615
T617	N617
T627	N627
T635	N635
T641	N641
T647	N647
T661	N661
T663	N663
T665	N665
T671	N671
T685	N685
T695	N695
T713	N713
T715	N715
T721	N721
T724	N724
T727	N727
T737	N737
T741	N741
T743	N743
T745	N745
T755	N755
T777	N777
T785	N785
T813	N813
T815	N815
T817	N817
T823	N823
T851	N851
T857	N857
T861	N861
T863	N863
T865	N865
T867	N867
T873	N873
T877	N877
T881	N881
T883	N883
T911	N911
T913	N913
T915	N915
T917	N917
T921	N921
T923	N923
T925	N925
T937	N937
T943	N943
T951	N951
T953	N953
T955	N955
T957	N957
T963	N963
T965	N965
T967	N967
T975	N975
T977	N977
T981	N981
T983	N983
T1013	N1013
T1015	N1015
T1021	N1021
T1025	N1025
T1027	N1027
T1031	N1031
T1041	N1041
T1043	N1043
T1045	N1045
