normal	tumor
C3N.01799.N	C3N.01799
C3N.02729.N	C3N.02729
C3N.00578.N	C3N.00578
C3N.02587.N	C3N.02587
C3N.01413.N	C3N.01413
C3N.01030.N	C3N.01030
C3N.00169.N	C3N.00169
C3L.00422.N	C3L.00422
C3L.00083.N	C3L.00083
C3N.00551.N	C3N.00551
C3N.02089.N	C3N.02089
C3L.01682.N	C3L.01682
C3N.01016.N	C3N.01016
C3N.00580.N	C3N.00580
C3N.02000.N	C3N.02000
C3N.00737.N	C3N.00737
C3N.01405.N	C3N.01405
C3N.02149.N	C3N.02149
C3N.02424.N	C3N.02424
C3L.00095.N	C3N.02379
C3N.02572.N	C3L.00095
C3N.00559.N	C3N.02572
C3L.00510.N	C3L.00093
C3N.01415.N	C3L.00412
C3N.00549.N	C3N.01415
C3N.01021.N	C3N.02433
C3N.00550.N	C3N.01071
C3L.00001.N	C3N.00167
C3N.02155.N	C3L.01632
C3N.00217.N	C3N.02155
C3N.02586.N	C3N.02145
C3N.00180.N	C3L.02219
C3N.00704.N	C3N.00180
C3N.02158.N	C3N.00704
C3L.00094.N	C3N.01072
C3L.01924.N	C3N.00223
C3N.00433.N	C3N.02380
C3L.01683.N	C3L.01924
C3L.00009.N	C3N.00293
C3N.00546.N	C3L.00009
C3L.00080.N	C3N.02067
C3L.02348.N	C3L.00973
C3L.02508.N	C3L.02348
C3N.00560.N	C3L.02508
C3N.00738.N	C3L.02350
C3N.02003.N	C3N.00959
C3N.00175.N	C3N.00175
C3N.01823.N	C3N.01823
C3L.02549.N	C3L.02549
C3L.02365.N	C3L.02365
