tumor	normal
iBAQ LUAD_02T	iBAQ LUAD_02N
iBAQ LUAD_04T	iBAQ LUAD_04N
iBAQ LUAD_05T	iBAQ LUAD_05N
iBAQ LUAD_06T	iBAQ LUAD_06N
iBAQ LUAD_07T	iBAQ LUAD_07N
iBAQ LUAD_09T	iBAQ LUAD_09N
iBAQ LUAD_100T	iBAQ LUAD_100N
iBAQ LUAD_101T	iBAQ LUAD_101N
iBAQ LUAD_102T	iBAQ LUAD_102N
iBAQ LUAD_17T	iBAQ LUAD_17N
iBAQ LUAD_18T	iBAQ LUAD_18N
iBAQ LUAD_19T	iBAQ LUAD_19N
iBAQ LUAD_20T	iBAQ LUAD_20N
iBAQ LUAD_21T	iBAQ LUAD_21N
iBAQ LUAD_22T	iBAQ LUAD_22N
iBAQ LUAD_26T	iBAQ LUAD_26N
iBAQ LUAD_29T	iBAQ LUAD_29N
iBAQ LUAD_30T	iBAQ LUAD_30N
iBAQ LUAD_32T	iBAQ LUAD_32N
iBAQ LUAD_34T	iBAQ LUAD_34N
iBAQ LUAD_36T	iBAQ LUAD_36N
iBAQ LUAD_37T	iBAQ LUAD_37N
iBAQ LUAD_39T	iBAQ LUAD_39N
iBAQ LUAD_41T	iBAQ LUAD_41N
iBAQ LUAD_43T	iBAQ LUAD_43N
iBAQ LUAD_45T	iBAQ LUAD_45N
iBAQ LUAD_46T	iBAQ LUAD_46N
iBAQ LUAD_51T	iBAQ LUAD_51N
iBAQ LUAD_52T	iBAQ LUAD_52N
iBAQ LUAD_55T	iBAQ LUAD_55N
iBAQ LUAD_58T	iBAQ LUAD_58N
iBAQ LUAD_59T	iBAQ LUAD_59N
iBAQ LUAD_61T	iBAQ LUAD_61N
iBAQ LUAD_62T	iBAQ LUAD_62N
iBAQ LUAD_65T	iBAQ LUAD_65N
iBAQ LUAD_66T	iBAQ LUAD_66N
iBAQ LUAD_70T	iBAQ LUAD_70N
iBAQ LUAD_72T	iBAQ LUAD_72N
iBAQ LUAD_76T	iBAQ LUAD_76N
iBAQ LUAD_78T	iBAQ LUAD_78N
iBAQ LUAD_81T	iBAQ LUAD_81N
iBAQ LUAD_83T	iBAQ LUAD_83N
iBAQ LUAD_86T	iBAQ LUAD_86N
iBAQ LUAD_87T	iBAQ LUAD_87N
iBAQ LUAD_88T	iBAQ LUAD_88N
iBAQ LUAD_90T	iBAQ LUAD_90N
iBAQ LUAD_92T	iBAQ LUAD_92N
iBAQ LUAD_94T	iBAQ LUAD_94N
iBAQ LUAD_95T	iBAQ LUAD_95N
iBAQ LUAD_98T	iBAQ LUAD_98N
iBAQ LUAD_99T	iBAQ LUAD_99N
