tumor	normal
iBAQ LUAD_01T	iBAQ LUAD_01N
iBAQ LUAD_02T	iBAQ LUAD_02N
iBAQ LUAD_03T	iBAQ LUAD_03N
iBAQ LUAD_04T	iBAQ LUAD_04N
iBAQ LUAD_05T	iBAQ LUAD_05N
iBAQ LUAD_06T	iBAQ LUAD_06N
iBAQ LUAD_07T	iBAQ LUAD_07N
iBAQ LUAD_08T	iBAQ LUAD_08N
iBAQ LUAD_09T	iBAQ LUAD_09N
iBAQ LUAD_100T	iBAQ LUAD_100N
iBAQ LUAD_101T	iBAQ LUAD_101N
iBAQ LUAD_102T	iBAQ LUAD_102N
iBAQ LUAD_103T	iBAQ LUAD_103N
iBAQ LUAD_10T	iBAQ LUAD_10N
iBAQ LUAD_11T	iBAQ LUAD_11N
iBAQ LUAD_12T	iBAQ LUAD_12N
iBAQ LUAD_13T	iBAQ LUAD_13N
iBAQ LUAD_14T	iBAQ LUAD_14N
iBAQ LUAD_15T	iBAQ LUAD_15N
iBAQ LUAD_16T	iBAQ LUAD_16N
iBAQ LUAD_17T	iBAQ LUAD_17N
iBAQ LUAD_18T	iBAQ LUAD_18N
iBAQ LUAD_19T	iBAQ LUAD_19N
iBAQ LUAD_20T	iBAQ LUAD_20N
iBAQ LUAD_21T	iBAQ LUAD_21N
iBAQ LUAD_22T	iBAQ LUAD_22N
iBAQ LUAD_23T	iBAQ LUAD_23N
iBAQ LUAD_24T	iBAQ LUAD_24N
iBAQ LUAD_25T	iBAQ LUAD_25N
iBAQ LUAD_26T	iBAQ LUAD_26N
iBAQ LUAD_27T	iBAQ LUAD_27N
iBAQ LUAD_28T	iBAQ LUAD_28N
iBAQ LUAD_29T	iBAQ LUAD_29N
iBAQ LUAD_30T	iBAQ LUAD_30N
iBAQ LUAD_31T	iBAQ LUAD_31N
iBAQ LUAD_32T	iBAQ LUAD_32N
iBAQ LUAD_33T	iBAQ LUAD_33N
iBAQ LUAD_34T	iBAQ LUAD_34N
iBAQ LUAD_35T	iBAQ LUAD_35N
iBAQ LUAD_36T	iBAQ LUAD_36N
iBAQ LUAD_37T	iBAQ LUAD_37N
iBAQ LUAD_38T	iBAQ LUAD_38N
iBAQ LUAD_39T	iBAQ LUAD_39N
iBAQ LUAD_40T	iBAQ LUAD_40N
iBAQ LUAD_41T	iBAQ LUAD_41N
iBAQ LUAD_42T	iBAQ LUAD_42N
iBAQ LUAD_43T	iBAQ LUAD_43N
iBAQ LUAD_44T	iBAQ LUAD_44N
iBAQ LUAD_45T	iBAQ LUAD_45N
iBAQ LUAD_46T	iBAQ LUAD_46N
iBAQ LUAD_47T	iBAQ LUAD_47N
iBAQ LUAD_48T	iBAQ LUAD_48N
iBAQ LUAD_49T	iBAQ LUAD_49N
iBAQ LUAD_50T	iBAQ LUAD_50N
iBAQ LUAD_51T	iBAQ LUAD_51N
iBAQ LUAD_52T	iBAQ LUAD_52N
iBAQ LUAD_53T	iBAQ LUAD_53N
iBAQ LUAD_54T	iBAQ LUAD_54N
iBAQ LUAD_55T	iBAQ LUAD_55N
iBAQ LUAD_56T	iBAQ LUAD_56N
iBAQ LUAD_57T	iBAQ LUAD_57N
iBAQ LUAD_58T	iBAQ LUAD_58N
iBAQ LUAD_59T	iBAQ LUAD_59N
iBAQ LUAD_60T	iBAQ LUAD_60N
iBAQ LUAD_61T	iBAQ LUAD_61N
iBAQ LUAD_62T	iBAQ LUAD_62N
iBAQ LUAD_63T	iBAQ LUAD_63N
iBAQ LUAD_64T	iBAQ LUAD_64N
iBAQ LUAD_65T	iBAQ LUAD_65N
iBAQ LUAD_66T	iBAQ LUAD_66N
iBAQ LUAD_67T	iBAQ LUAD_67N
iBAQ LUAD_68T	iBAQ LUAD_68N
iBAQ LUAD_69T	iBAQ LUAD_69N
iBAQ LUAD_70T	iBAQ LUAD_70N
iBAQ LUAD_71T	iBAQ LUAD_71N
iBAQ LUAD_72T	iBAQ LUAD_72N
iBAQ LUAD_73T	iBAQ LUAD_73N
iBAQ LUAD_74T	iBAQ LUAD_74N
iBAQ LUAD_75T	iBAQ LUAD_75N
iBAQ LUAD_76T	iBAQ LUAD_76N
iBAQ LUAD_77T	iBAQ LUAD_77N
iBAQ LUAD_78T	iBAQ LUAD_78N
iBAQ LUAD_79T	iBAQ LUAD_79N
iBAQ LUAD_80T	iBAQ LUAD_80N
iBAQ LUAD_81T	iBAQ LUAD_81N
iBAQ LUAD_82T	iBAQ LUAD_82N
iBAQ LUAD_83T	iBAQ LUAD_83N
iBAQ LUAD_84T	iBAQ LUAD_84N
iBAQ LUAD_85T	iBAQ LUAD_85N
iBAQ LUAD_86T	iBAQ LUAD_86N
iBAQ LUAD_87T	iBAQ LUAD_87N
iBAQ LUAD_88T	iBAQ LUAD_88N
iBAQ LUAD_89T	iBAQ LUAD_89N
iBAQ LUAD_90T	iBAQ LUAD_90N
iBAQ LUAD_91T	iBAQ LUAD_91N
iBAQ LUAD_92T	iBAQ LUAD_92N
iBAQ LUAD_93T	iBAQ LUAD_93N
iBAQ LUAD_94T	iBAQ LUAD_94N
iBAQ LUAD_95T	iBAQ LUAD_95N
iBAQ LUAD_96T	iBAQ LUAD_96N
iBAQ LUAD_97T	iBAQ LUAD_97N
iBAQ LUAD_98T	iBAQ LUAD_98N
iBAQ LUAD_99T	iBAQ LUAD_99N
