geneSymbol,C3N.01799,C3N.01799.N,C3L.01890,C3L.01890.N,C3N.00572,C3N.00572.N,C3N.02423,C3N.02423.N,C3N.02729,C3N.02729.N,C3L.00263,C3L.00263.N,C3N.01410,C3N.01410.N,C3N.00578,C3N.00578.N,C3N.02587,C3N.02587.N,C3L.00893,C3L.00893.N,C3N.01488,C3N.01488.N,C3N.01413,C3N.01413.N,C3N.01030,C3N.01030.N,C3N.02588,C3N.02588.N,C3N.00552,C3N.00552.N,C3L.01889,C3L.01889.N,C3N.00169,C3N.00169.N,C3L.00422,C3L.00422.N,C3L.00083,C3L.00083.N,C3N.00551,C3N.00551.N,C3N.02089,C3N.02089.N,C3L.01682,C3L.01682.N,C3N.01016,C3N.01016.N,C3N.00580,C3N.00580.N,C3N.02000,C3N.02000.N,C3N.01489,C3N.01489.N,C3N.00737,C3N.00737.N,C3N.01405,C3N.01405.N,C3N.01416,C3N.01416.N,C3N.02149,C3N.02149.N,C3N.02424,C3N.02424.N,C3L.00279,C3L.00279.N,C3N.02379,C3L.00095,C3L.00095.N,C3N.02572,C3N.02572.N,C3N.00559,C3N.00559.N,C3L.02345,C3L.02345.N,C3L.00093,C3L.00093.N,C3L.00510,C3L.00510.N,C3L.00913,C3L.00913.N,C3L.00412,C3L.00412.N,C3N.01415,C3N.01415.N,C3N.00549,C3N.00549.N,C3N.02433,C3N.02433.N,C3N.01021,C3N.01021.N,C3N.00203,C3N.00203.N,C3L.01330,C3L.01330.N,C3N.00574,C3N.00574.N,C3N.01071,C3N.01071.N,C3N.00550,C3N.00550.N,C3N.00167,C3N.00167.N,C3L.00001,C3L.00001.N,C3L.01632,C3L.01632.N,C3N.02155,C3N.02155.N,C3N.00217,C3N.00217.N,C3N.02002,C3N.02002.N,C3N.02145,C3N.02145.N,C3N.02586,C3N.02586.N,C3L.02219,C3L.02219.N,C3N.00180,C3N.00180.N,C3N.00704,C3N.00704.N,C3N.02158,C3N.02158.N,C3N.02421,C3N.02421.N,C3N.00556,C3N.00556.N,C3N.01072,C3N.01072.N,C3L.00094,C3L.00094.N,C3L.00144,C3L.00144.N,C3N.00223,C3N.00223.N,C3N.02380,C3L.01924,C3L.01924.N,C3N.00433,C3N.00433.N,C3L.01683,C3L.01683.N,C3N.00293,C3N.00293.N,C3N.02380.N,C3L.00009,C3L.00009.N,C3N.00546,C3N.00546.N,C3N.01414,C3N.01414.N,C3N.02087,C3N.02087.N,C3L.00140,C3L.00140.N,C3N.02529,C3N.02529.N,C3L.00368,C3L.00368.N,C3N.02067,C3N.02067.N,C3L.00080,C3L.00080.N,C3N.00547,C3N.00547.N,C3N.01023,C3N.01023.N,C3N.01024,C3N.01024.N,C3L.00973,C3L.00973.N,C3L.02348,C3L.02348.N,C3L.02508,C3L.02508.N,C3N.00560,C3N.00560.N,C3L.00604,C3L.00604.N,C3N.00199,C3N.00199.N,C3N.00579,C3N.00579.N,C3N.02582,C3N.02582.N,C3L.02350,C3L.02350.N,C3N.00738,C3N.00738.N,C3N.00959,C3N.00959.N,C3N.02003,C3N.02003.N,C3N.02379.N,C3N.00175,C3N.00175.N,C3N.01823,C3N.01823.N,C3L.02549,C3L.02549.N,C3L.02365,C3L.02365.N
A1BG,-2.4302,2.3857,1.1148,2.5622,-0.6473,1.1512,-1.8646,2.7894,-0.7255,2.6011,-1.1384,3.3675,-0.4466,3.3619,-1.2608,0.6653,-1.13,1.7637,-1.7255,2.2515,-1.2757,2.6669,0.0539,3.4507,-1.5332,1.8531,-1.6323,1.0875,-1.1386,1.6986,-1.4399,3.1319,-0.2507,0.555,0.2782,1.1946,2.1636,2.7488,-1.002,1.7333,-1.2149,2.0365,-0.9215,3.4442,-1.3234,-0.1902,-1.5138,1.4601,-1.781,0.9657,-0.4704,1.9674,-0.7040000000000001,2.7719,-1.3095,1.8355,-0.7956,3.0907,-0.6032,1.5723,-2.0689,1.3342,-0.7979999999999999,3.4411,-0.9808,-1.0718,2.4594,-1.4006,1.5818,-1.6054,1.7954,-0.0205,2.0049,-1.0022,2.9565,-2.5943,2.1408,0.1411,3.5495,-0.3945,1.1267,-1.7403,2.1993,-0.325,1.6759,-1.8656,3.4093,-0.6944,1.1247,-2.3393,3.0687,-2.5779,1.3034,0.1183,1.5552,-1.3017,2.3143,-0.1169,1.5568,-2.2388,-0.2098,-2.5347,2.9287,-0.8829,3.1377,-0.7523,0.8938,-1.8562,2.3289,-2.1785,1.4778,-2.6662,1.0796,-1.2578,0.8035,-1.6861,1.1307,-0.8708,2.0847,-1.5781,0.0143,-1.6103,4.2089,-2.9016,2.3838,-0.8639,2.7083,-3.248,1.117,-1.5576,2.0367,-1.9159,-0.1123,-1.8425,1.7468,-4.4128,-0.1416,2.0136,-2.3399,0.5358,-2.9168,1.0586,-0.8241,2.2494,0.7023,-0.5627,1.0722,-1.4402,2.2879,-1.1634,2.9514,-1.3951,2.7973,-1.0799,1.8415,-2.2154,1.911,-2.0537,0.7757,-1.7863,1.5985,-1.9422,3.0939,-1.8507,0.5621,-1.9156,1.4096,-0.2288,1.5377,-1.5842,2.1642,-3.3999,-0.4058,2.2302,1.9508,-1.5519999999999998,1.5822,-3.437,3.6268,-1.2116,1.6726,-1.7548,-0.0121,-3.3718,1.8277,-0.6153,1.0624,1.1367,3.0141,-1.2789,1.9269,-1.6768,1.1878,1.9008,1.2371,2.3080000000000003,-0.1132,2.4553,-1.1933,2.0859,-2.073,1.8423
A2M,-3.2133,2.9681,2.0689,4.1477,-1.7723,1.0255,-2.7064,3.4155,-3.2235,3.0462,-2.0141,3.5962,-2.0563,3.3702,-2.3294,0.5604,-1.7842,2.2513,-0.2812,3.2336,-0.2939,5.3383,-2.8355,2.0464,-3.1909,2.0961,-2.8213,1.7414,-2.6795,0.7168,-2.5839,2.5581,-1.3474,-0.2189,-0.4699,2.1311,3.1227,3.5303,-3.0392,1.2978,-2.1845,1.7035,0.1049,5.0183,-1.5619,-0.1602,-2.0642,1.7794,-2.3415,1.5638,-0.9664,1.7952,-1.016,3.6961,-1.0146,4.1451,-2.084,3.9741,-1.2823,1.9144,-3.3498,3.0909,-2.1125,5.1319,-1.2551,-3.1204,1.8005,-3.4726,1.5677,-1.6369999999999998,2.3784,-0.7091,3.8205,-0.9632,4.1603,-3.149,1.4404,0.6959,5.8618,0.7157,2.6394,-2.8622,2.4738,-1.5757,0.701,-2.5679,3.8059,-0.637,2.7535,-3.9314,3.8637,-3.1172,1.1517,-0.6871,2.6639,-1.1121,4.0258,0.6785,3.5459,-3.3504,-0.2686,-3.4057,5.0086,-2.0208,3.3458,-1.0504,1.4112,-2.4426,4.2537,0.5819,5.9751,-4.2062,0.0964,-3.0975,1.6403,-0.1821,4.7798,-2.3421,1.4812,-1.8902,1.164,-2.9035,3.7172,-5.1777,1.5081,-1.9092,2.8103,-5.6538,1.9845,-3.0225,1.852,-3.338,0.3259,-4.172,0.4678,-4.2606,-1.5412,1.1142,-3.6625,0.9631,-2.0204,2.6180000000000003,-0.4117,3.5327,0.9987,-1.7945,1.7726,-2.2354,2.2247,-1.943,3.5818,-3.3862,0.9781,-0.7682,3.6394,-3.901,1.1187,-3.1892,0.2262,-3.0963,1.0921,-2.3782,5.4187,-2.5916,0.5089,-3.2149,1.1631,-2.1485,0.9259,-2.8215,2.3568,-2.8576,3.151,-0.0192,2.3542,-1.6784,2.8122,-4.5571,3.6415,-2.2265,1.9708,-2.1857,0.9491,-4.1354,3.6204,-1.0176,1.6192,0.0345,2.3821,-1.1394,2.9334,-3.1343,1.1036,2.1914,-0.4172,2.5546,-2.0648,1.706,-2.4646,1.7725,-2.4108,3.0271
AAAS,-0.2345,0.066,0.2682,0.0707,0.0415,-0.3527,-0.3437,-0.3339,0.2707,-0.2924,-0.78,-0.0812,0.4097,-0.1539,-0.2249,-0.3314,-0.2201,-0.0532,0.092,-0.1744,-0.1848,0.2676,0.7556,0.0193,-0.5455,-0.5739,-0.9973,-0.227,0.3529,0.6183,0.914,-0.1288,-0.2607,-0.111,-0.3221,-0.2451,-0.3044,0.2155,0.9694,-0.3015,0.3114,0.2558,0.038,-0.3354,0.1945,-0.2802,0.338,-0.0888,1.0703,-0.1007,-0.1569,-0.4402,0.5139,-0.505,0.3179,-0.8162,0.1716,0.4478,0.0083,0.34700000000000003,0.608,0.5017,0.7259,0.0685,0.902,-0.4111,0.911,0.2486,0.0152,1.8772,-0.1063,0.6352,0.3235,0.8190000000000001,0.327,0.898,-0.0882,1.3358,-0.255,-0.1156,0.1081,1.0368,0.6663,0.2376,0.3074,0.0946,1.0478,0.4082,0.0333,0.6512,0.66,0.4398,0.0105,0.9139,0.8974,1.0376,-1.0376,-0.1419,-0.3984,-0.1933,-1.1095,0.1572,-0.6113,-0.4845,0.1048,0.1814,-0.1275,0.0573,0.2813,0.7321,-0.1982,-0.4235,-0.2618,-0.7937,0.23,0.3603,0.2255,-0.2309,-0.09,0.4924,-0.1223,-0.1288,0.5228,-0.4437,0.3956,0.0588,0.2648,0.5594,-0.5261,-0.0166,0.2232,0.2733,-0.3843,-0.2831,-0.3789,0.1119,0.982,-0.2405,-0.5788,-0.4021,-0.0663,-0.1629,-0.3399,0.8295,0.0155,1.0054,-0.1973,-0.0442,-0.0839,0.4465,0.9876,0.011,-0.231,0.9563,-0.0244,-0.2636,0.1808,-0.4079,-0.2733,0.187,0.0863,0.194,-0.031,-0.2346,-0.111,-0.5137,-0.1723,-0.2118,0.119,-0.3599,0.4314,0.006,-0.0493,0.0196,0.6971,0.8427,0.2293,-1.1445,0.0662,0.6978,-0.2936,-0.0311,0.4447,-0.0534,0.1783,-0.4098,-0.4370000000000001,-0.0279,0.2382,-0.2843,0.7313,0.2464,-0.1201,0.2748,0.2478,-0.0498,0.5768,-0.4685,-0.6282,-0.5367,0.0806,-0.3473
AACS,-1.0559,-2.0141,-2.0876,-1.5565,0.2022,-2.311,-1.4159,-2.024,2.2248,-2.1953,-0.2939,-0.7223,3.3795,-0.4672,2.1452,-1.8562,1.429,-1.4159,-0.9466,-1.1255,0.6351,-2.0366,-1.0125,-2.5592,-0.2076,-1.3267,0.5833,-1.7,2.3561,-1.1628,-0.9453,-2.0884,-0.394,-2.0456,-0.0151,-1.1816,-1.7183,-0.1148,4.4194,-1.1049,0.9178,-0.7818,-1.0512,-3.2621,2.0702,-0.8087,0.9695,-2.1404,1.2129,-1.4952,0.1944,-1.4918,0.8729,-0.9057,0.7185,-1.1126,-0.9027,-1.7643,3.8596,-1.4778,0.0956,-1.5976,-0.2178,-1.5867,-0.6731,-1.6451,-0.946,-0.8797,-2.7318,0.0396,-1.9914,-0.3229,-3.0394,0.2556,-2.5916,0.2247,-2.698,0.4784,-1.6581,-0.9207,-2.4299,1.9866,-1.7193,0.8508,-1.8238,-0.5035,-1.6274,2.3762,-2.1728,-1.2442,-2.6801,-1.0241,-2.6906,0.1735,-1.1327,0.2792,-0.4394,-0.2452,-1.9211,1.2836,-2.2411,-1.1998,-2.9004,-0.0559,-2.5288,1.7341,-1.7029,1.286,-1.3431,-0.7494,-1.5937,1.4285,-2.0807,-0.2161,-1.8837,-0.2206,-2.4292,1.2108,-2.6784,-0.3054,-1.0784,5.6264,-1.1246,0.5597,-0.4694,0.3298,-1.2033,-1.0582,-1.2772,4.0622,-2.6346,-0.4362,-1.6423,0.075,-2.274,0.456,-0.1897,-2.5132,-2.0725,-2.6357,-1.9042,-1.9744,-2.3574,-2.2392,-2.6848,-0.3624,-2.3184,-0.0328,-2.2136,3.9902,-1.9523,2.2122,-2.4618,-0.2934,-1.2254,2.8282,-2.2991,-0.3359,-2.3464,0.0269,-1.9113,0.192,-0.9958,0.6436,-2.0428,1.5922,-2.0642,1.1585,-2.4972,-1.2423,-1.2807,3.5223,-2.9813,0.3975,-0.6917,1.0058,-1.8551,0.3751,-1.85,0.3538,-0.4968,0.8439,-1.0647,2.4697,-1.6842,0.6003,-3.3206,3.0542,-2.4191,1.4732,-1.5899,1.0809,-2.2809,-3.4967,-1.7535,-1.7077,-0.5838,-1.9816,2.4849,-2.2804,1.5343,-2.1394
AADAC,0.4783,1.3174,-1.0294,0.6248,1.0472,-0.6002,-0.4668,1.4286,6.2018,4.1405,-1.5622,0.0331,-1.2137,1.3461,-2.4179,1.592,-2.3886,4.8264,-0.3948,-1.7388,-4.8403,-1.7646,-1.4837,-2.5672,-3.8263,-0.0136,-3.4507,4.5153,-3.0345,-0.0594,-0.9453,1.5722,-3.3342,-1.8484,-2.3116,-2.1276,-3.2851,-0.106,-2.7076,1.2152,-2.6324,1.6334,-3.0607,-2.7023,-0.1991,-0.179,-4.49,-3.4838,0.2668,0.8905,-0.8011,0.0886,-3.3303,-2.709,-1.4513,-0.6565,-1.085,0.5238,-3.5784,0.9564,-4.6997,3.6327,-5.2043,-2.0583,-3.5721,-5.0396,-1.1197,-5.6845,5.0519,0.6119,1.0963,,1.9825,-11.1252,0.7809999999999999,-5.4134,-3.4361,-9.0094,,-2.0256,0.6123,-2.8622,-0.6127,-1.6209,0.0429,9.3517,0.4205,2.5906,0.4678,-1.0269,0.7252,-1.1493,3.3613,-1.6484,0.7397,-1.3352,0.2298,-2.6501,-0.3335,-3.2805,0.2677,-1.6826,-1.0494,-1.6194,2.4241,-2.158,0.036000000000000004,-1.8697,0.6021,-3.0381,-1.169,-3.5429,-0.015,-3.9256,1.4085,5.8879,6.0991,-2.4942,1.1928,-0.6549,3.5505,3.0175,0.5698,-5.1078,2.1541,-4.2289,-2.3316,-7.119,-1.9542,-2.9441,4.0727,-2.0099,-0.3805,-5.0075,3.3141,-3.0274,-2.3887,5.8389,-1.7837,2.1233,-2.9468,0.4389,-0.0575,2.0402,1.7253,-4.4887,0.3678,-4.5895,3.2528,-1.8586,-0.0437,-3.4896,-1.418,-4.5115,-2.5479,-5.0812,0.7066,-2.5249,5.7318,-2.8219,5.8312,-2.2655,-3.0383,-2.3628,-0.8868,-1.7367,2.9478,-0.948,-0.5191,0.5128,1.8177,-1.7789,2.4701,-0.8985,-1.2489,-1.5663,0.0869,2.5465,-1.9124,-0.297,-0.7294,-3.9423,0.1428,-4.8449,0.6852,5.5227,2.9133,-2.041,-0.0742,2.6667,-0.7212,0.4608,5.7693,0.9889,-3.6542,-0.1972,-2.7894,-0.75,3.7563,1.0268,-1.9973,1.4449
AAGAB,-0.5349,-1.2353,0.1121,-1.3161,0.8497,-1.3429,0.379,-0.8732,-0.0368,-0.4741,1.0088,-0.7343,0.1808,-0.1733,-0.2937,-0.5413,0.5216,-0.8181,-0.2455,-0.3088,-0.0441,-0.3584,0.0298,-0.6194,-0.1152,0.6413,0.5442,-0.2169,0.7876,0.5720000000000001,0.5411,-0.0359,-0.7474,-0.3268,0.385,-0.8185,-0.4863,-0.3242,2.3375,-0.9397,0.9602,0.0314,-0.6383,-0.1137,0.7372,-0.194,0.0607,-0.4044,0.0983,-1.1944,1.0109,-0.7938,1.1518,-0.1398,-0.1355,-0.1972,-0.4825,-0.9533,0.12,-0.3503,0.4237,-0.7132,0.8728,-0.1302,1.236,0.2182,-0.8292,-0.2307,-1.1262,0.7125,-1.2824,1.7280000000000002,-0.3774,0.2911,-0.4531,-1.0058,0.2024,0.8945,0.0769,0.2316,-0.5788,1.0479,-1.1383,1.5615,-1.3564,-1.6881,-1.63,-0.0627,-0.0596,0.9869,0.4286,-0.0225,-0.0686,0.5534,0.9073,0.4326,1.2104,0.5532,0.0402,0.4514,-0.85,-0.8179,-0.043,0.8496,-0.7278,0.2621,-0.8885,0.4691,0.2267,0.5679,0.0482,1.2774,-1.7464,1.3365,-0.8544,0.4757,-0.3266,-0.1005,-0.7504,-0.6015,-0.4106,-0.6787,0.3818,-0.3248,-0.2002,-0.7962,-0.0852,0.2639,-0.6425,1.5625,-0.9682,0.5796,-0.4825,0.5602,-1.0274,-0.0129,-0.2218,-0.6958,0.9221,-0.4715,0.6088,-0.3141,-0.201,-0.0744,-0.74,1.3342,-0.3803,-0.7508,-0.2102,-0.134,0.4095,0.1855,-0.6095,-0.1302,0.3545,0.6586,-0.0502,-0.4406,0.0692,0.8665,-0.1023,0.2149,-0.7652,-0.0915,-0.5673,-0.1441,-1.0507,-0.2005,-1.1459,1.1022,-0.0929,-0.6704,-1.1428,0.7153,1.6265,1.4383,-0.7903,0.4734,-0.3376,-0.2454,-1.7026,0.0182,-1.2395,1.5502,-0.6666,-0.7052,-0.7605,-0.8598,-0.6092,-0.2161,0.0891,1.3095,-1.3668,-0.2538,-1.4032,-1.2968,0.3372,-0.8998,1.2535,-0.8466,0.0536,-1.4533
AAMDC,0.0212,2.3691,-0.7345,1.0673,-1.4509,0.3494,0.7879999999999999,3.5494,1.0584,2.0892,0.8031,1.8989,-0.8061,-0.3092,1.706,2.2495,0.7709,2.6187,-0.0151,0.5768,-1.332,0.992,0.986,1.8203,-1.2213,-0.7326,-1.9373,0.5044,0.3996,1.8202,-0.3137,2.2187,0.9661,1.619,1.9403,2.542,-1.2387,-0.9141,1.2412,2.1913,-1.025,-0.1578,1.2257,2.1630000000000003,-5.2029999999999985,-5.0782,-1.6781,-0.4118,1.0509,2.1209,-2.3926,-0.6155,-0.1793,-0.5373,-0.2218,0.9201,-0.2882,0.9474,-3.9547,-4.2835,1.7449,1.2187,-0.5079,-0.1391,-1.4326,-2.1625,-0.5177,1.2161,3.3009,-1.4328,0.6524,-0.8858,2.8475,-0.4459,1.8166,-1.1949,1.8473,-1.0787,-0.5033,0.8683,2.3788,-0.735,-0.7119,0.3787,1.7897,-1.445,-1.604,0.1326,2.0834,-0.6224,-0.3308,-4.5009,-1.5659,-0.476,0.3702,-0.9142,-1.1733,-0.1544,2.0540000000000003,-0.8286,-0.2721,-0.8053,1.287,-0.4996,1.7487,-0.3237,1.3478,-1.2452,1.3563,0.4142,2.1717,0.0198,3.0776,0.0544,0.1946,0.3334,1.4148,-2.0913,-0.0141,-1.8769,0.8908,0.6571,1.2901,0.266,2.1541,0.7589,1.5868,-1.4905,1.3603,-0.0972,1.7389,-2.213,-1.9219,0.1174,2.1467,0.9797,0.2019,2.4130000000000003,-0.208,1.7551,0.2937,2.2682,-0.9497,0.4222,2.1446,0.0645,1.104,-1.3315,0.309,-0.8259,-0.1831,-2.3486,-0.1722,-0.5643,1.4233,-2.2611,0.6106,-0.7678,2.2565,-1.3256,2.0315,-0.7593,1.0326,-2.6431,-0.6434,-2.1473,-1.1143,-1.4661,1.9619,-0.1515,2.1791,-2.205,-0.4498,1.5698,-1.6002,-2.4107,-3.0657,-1.8159,0.826,-2.3326,-0.5262,-1.0278,3.6024,2.0592,2.3787,-0.0759,2.036,0.9371,2.1343,3.0052,1.3197,1.3953,1.4861,1.8081,0.5754,0.8372,-0.3413,2.1336,0.8590000000000001,1.9094,0.2725,1.2012
AAMP,0.4399,-0.8059999999999999,-0.4673,-0.539,1.6901,-0.0718,-0.8719,-1.673,0.3672,-0.5594,1.0431,-0.5898,-0.6619,-1.2547,-0.333,-0.5483,-0.7797,-0.3304,0.6892,-0.7533,0.1424,-1.3581,-0.1835,-0.8058,-0.2191,-0.206,0.9134,-0.3012,0.6253,-0.7168,0.7694,-0.4197,-0.1573,0.3615,0.1668,-0.8567,-0.4946,-0.6457,-0.1447,-0.155,2.3187,0.4801,-0.2726,0.0741,0.3287,-0.1227,-0.0033,0.2048,-1.0552,-0.2989,0.2599,-1.0675,-0.0412,0.2997,0.8492,-0.5327,1.892,0.2342,-0.5415,0.246,0.7662,-0.2113,-0.5115,-0.0324,0.3795,0.1972,-1.6408,-0.972,-0.3924,0.5457,-0.0632,0.4406,0.6404,-0.1518,0.2598,2.1058,0.0426,-0.2781,-0.8548,-0.9838,-0.3724,0.9368,0.3831,0.1488,-0.3876,-0.8006,-0.3002,0.8715,-0.617,0.5479999999999999,-0.9893,1.6243,-0.161,-0.0506,-0.6547,2.4178,-0.0755,-0.3454,-0.4972,1.5631,0.1812,-0.1899,-0.0036,-0.2551,-0.6258,-0.0588,-1.012,-0.2158,-0.8516,0.484,-0.6874,1.6025,-0.2299,0.031,-0.0726,0.568,-0.0384,0.2708,0.5096,0.2896,0.1054,0.3056,-1.0933,-1.2409,-0.0638,0.1814,-0.1668,0.4069,0.2108,0.4359,0.0875,1.3285,0.0124,1.5419999999999998,0.1327,1.0375,-1.0661,-0.4793,1.0326,0.2614,0.2975,-0.7055,0.9154,-0.1693,-0.3532,0.6427,0.3081,0.7595,0.0003,-0.4749,-0.279,0.499,0.0189,1.5215,-0.3353,0.3467,0.2056,-0.0643,-0.6551,0.187,-0.3817,0.6113,-0.2522,-0.3375,-0.3125,0.1844,-0.2757,-0.7923,-0.6355,0.249,-0.4039,0.2176,0.3152,0.341,-0.9807,0.3144,-0.4536,-0.3126,-0.4918,-0.3687,-0.7294,-0.6726,-0.163,-0.9188,-0.0458,-0.5254,-0.0792,1.1242,-0.1747,2.0522,-0.6745,0.1236,-0.2884,-0.5197,-0.1804,-0.4551,1.9394,-0.2968,2.906,-0.3314,-0.6895,-0.4785
AAR2,-0.3367,-0.613,0.2093,0.36,0.4364,-0.2492,0.1725,0.0316,0.8526,-0.5335,-0.1505,-1.2158,0.5311,-0.4728,-0.8379,-0.3664,-0.3127,0.1037,-0.2488,-0.7981,0.6316,-0.0765,0.6455,0.1343,0.6733,0.0438,-0.2476,-0.1225,-0.0737,-0.1492,0.2621,0.0045,0.1627,-0.0887,-0.1834,-0.0062,-0.0068,0.2155,0.9366,-0.0424,1.3694,-0.1859,-0.0327,-0.3279,-0.8701,-0.1115,-0.0737,0.1828,1.6633,0.3368,-0.057,0.0364,0.8646,-0.1883,0.3735,0.0438,-0.1495,-0.7325,0.5198,-0.7153,0.4554,0.2946,0.311,-0.332,0.9586,-1.0788,0.0723,-0.058,0.1924,0.0195,0.0494,0.1831,0.316,0.369,-0.13699999999999998,0.1869,-0.6259,-0.0638,-0.5619,-1.068,0.1047,0.012,0.0969,1.3054,0.1444,0.6387,1.0167,-0.1967,0.2489,0.5609,0.1438,0.1733,0.1853,0.862,0.55,1.2384,1.5989,1.2202,2.0479,0.9088,0.1051,0.9872,0.0359,-0.5992,-0.2265,0.9764,-0.1909,-0.5917,-0.1111,0.0717,-0.5357,0.3679,-0.5762,0.0277,-0.3908,-0.3744,-0.0059,-0.1262,-0.0938,-0.9964,-0.0578,0.1524,0.2221,-0.192,-0.1033,0.9008,-0.5032,0.0764,0.3166,0.4179,0.4155,-0.0663,-0.3088,0.2252,-0.0114,-0.0342,-0.2315,0.2335,-0.0761,-0.3013,-0.0738,0.2106,-0.5865,-0.3478,0.001,0.0948,-0.4281,0.3391,-0.2067,1.6919,0.4966,-0.0957,0.0042,-0.2759,-0.0065,-0.2394,0.6782,-0.4569,0.244,-0.1201,-0.0674,-0.098,0.609,-0.7123,-0.7993,-0.672,-0.0531,-0.2345,0.3554,-0.2687,0.4373,-0.0237,0.0428,-0.4571,0.1337,0.8467,-0.4019,0.2409,0.0882,0.8067,-0.2706,-0.5443,-0.0717,0.1375,-0.2589,-1.1375,-0.0046,0.1634,0.6943,-0.1923,-0.3032,1.7982,0.1858,0.485,-0.4042,-0.0782,1.0878,-0.0336,0.0701,0.2378,-0.1275,0.1064
AARS,0.7212,-1.3818,-0.1446,-1.006,2.062,-1.4907,-0.8044,-1.1952,1.7903,-0.897,-0.2907,-0.975,0.8471,-0.7778,1.4765,-0.8595,1.9363,-1.1587,-0.239,-1.0738,0.2867,-0.7518,0.0435,-1.3295,-0.8285,-0.9554,0.2168,-1.0831,0.9775,-1.0035,0.1454,-0.5975,-1.0374,-0.6318,1.5651,-1.0191,0.3281,-1.1972,1.7998,-0.8158,0.2634,-0.7818,0.5532,-1.0229,1.6348,-1.0861,0.9162,-0.966,0.7496,-1.2457,0.2082,-0.6985,1.729,-0.7474,0.4681,-0.4806,0.1121,-0.957,0.2229,-0.4644,1.5434,-0.765,1.016,-0.9133,0.0326,1.6061,-1.1766,-0.1771,-1.1651,1.719,-0.8816,1.713,-0.9628,0.5533,-1.0752,0.3407,-0.9019,-0.0007,-1.2006,0.9367,-0.5687,1.6311,-0.8813,2.6031,-0.8182,0.2837,-0.969,-1.2879,-1.1311,1.3032,-0.9359,-0.6967,-1.4241,0.6151,-1.0021,0.5274,-0.8619,3.3683,-1.0131,1.4805,-1.3863,0.962,-0.0233,0.0407,-0.715,-0.33,-1.1054,2.2774,-0.954,-1.9793,-1.4003,-0.5811,-1.1454,0.5719,-0.9801,1.9528,-0.7366,1.1496,-0.7922,-0.8897,-1.0974,0.9534,-1.2561,-1.6989,-1.4455,-0.0541,-1.0945,1.8116,-0.8576,1.4304,-0.7646,0.4553,-1.2457,-1.0108,-0.9121,0.2946,-0.5717,-1.1063,0.5584,-0.9996,0.4475,-0.8359,-0.5103,-1.0648,-1.2171,0.1628,-0.1973,0.4964,-1.0207,0.8582,-1.6211,1.6303,-1.2747,0.2747,-0.5426,0.3333,-0.8034,-0.1166,-1.0226,0.7424,-1.2827,-0.4297,-1.2688,0.8953,-0.6548,2.1407,-1.162,1.4502,-1.3073,0.096,-1.18,0.1997,-1.2029,-0.9656,-1.4963,0.3817,-1.0395,1.1677,-1.5233,-0.4404,-1.198,1.0939,-1.589,0.8152,-1.0964,-0.7308,-1.1586,1.9062,-0.9288,-1.5046,-1.0272,1.1181,-1.5657,-1.3389,0.0175,-1.2515,3.253,-0.3991,0.0354,-1.0447,0.113,-0.9921
